datetime,temperature,humidity,wind_speed,hour,day_of_week,is_holiday,power_zone1
2017-01-01 00:00:00,6.559,73.8,0.083,0,6,1,34055.6962
2017-01-01 00:10:00,6.414,74.5,0.083,0,6,1,29814.68354
2017-01-01 00:20:00,6.313,74.5,0.08,0,6,1,29128.10127
2017-01-01 00:30:00,6.121,75.0,0.083,0,6,1,28228.86076
2017-01-01 00:40:00,5.921,75.7,0.081,0,6,1,27335.6962
2017-01-01 00:50:00,5.853,76.9,0.081,0,6,1,26624.81013
2017-01-01 01:00:00,5.641,77.7,0.08,1,6,1,25998.98734
2017-01-01 01:10:00,5.496,78.2,0.085,1,6,1,25446.07595
2017-01-01 01:20:00,5.678,78.1,0.081,1,6,1,24777.72152
2017-01-01 01:30:00,5.491,77.3,0.082,1,6,1,24279.49367
2017-01-01 01:40:00,5.516,77.5,0.081,1,6,1,23896.70886
2017-01-01 01:50:00,5.471,76.7,0.083,1,6,1,23544.3038
2017-01-01 02:00:00,5.059,78.6,0.081,2,6,1,23003.5443
2017-01-01 02:10:00,4.968,78.8,0.084,2,6,1,22329.11392
2017-01-01 02:20:00,4.975,78.9,0.083,2,6,1,22092.1519
2017-01-01 02:30:00,4.897,79.1,0.083,2,6,1,21903.79747
2017-01-01 02:40:00,5.02,79.7,0.081,2,6,1,21685.06329
2017-01-01 02:50:00,5.407,78.5,0.082,2,6,1,21484.55696
2017-01-01 03:00:00,5.169,77.9,0.083,3,6,1,21107.8481
2017-01-01 03:10:00,5.081,77.7,0.084,3,6,1,20998.48101
2017-01-01 03:20:00,5.041,77.2,0.081,3,6,1,20870.88608
2017-01-01 03:30:00,5.034,76.9,0.083,3,6,1,20870.88608
2017-01-01 03:40:00,4.896,76.6,0.085,3,6,1,20597.46835
2017-01-01 03:50:00,4.805,76.2,0.081,3,6,1,20421.26582
2017-01-01 04:00:00,4.753,75.7,0.083,4,6,1,20524.55696
2017-01-01 04:10:00,4.901,74.4,0.083,4,6,1,20482.02532
2017-01-01 04:20:00,5.203,74.1,0.085,4,6,1,20530.63291
2017-01-01 04:30:00,5.394,71.9,0.081,4,6,1,20512.40506
2017-01-01 04:40:00,5.156,74.0,0.079,4,6,1,20494.17722
2017-01-01 04:50:00,5.179,74.2,0.083,4,6,1,20311.89873
2017-01-01 05:00:00,4.934,72.9,0.082,5,6,1,20542.78481
2017-01-01 05:10:00,4.718,75.8,0.08,5,6,1,20621.77215
2017-01-01 05:20:00,5.546,74.0,0.082,5,6,1,20627.8481
2017-01-01 05:30:00,4.658,73.5,0.08,5,6,1,20797.97468
2017-01-01 05:40:00,4.382,76.9,0.081,5,6,1,20858.73418
2017-01-01 05:50:00,4.212,78.3,0.081,5,6,1,21393.41772
2017-01-01 06:00:00,4.308,77.2,0.081,6,6,1,22219.74684
2017-01-01 06:10:00,4.735,74.3,0.08,6,6,1,21928.10127
2017-01-01 06:20:00,4.769,75.6,0.082,6,6,1,21776.20253
2017-01-01 06:30:00,4.92,73.7,0.083,6,6,1,21654.68354
2017-01-01 06:40:00,4.408,76.7,0.082,6,6,1,21466.32911
2017-01-01 06:50:00,4.29,77.0,0.085,6,6,1,20846.58228
2017-01-01 07:00:00,4.304,76.0,0.082,7,6,1,19983.79747
2017-01-01 07:10:00,4.513,74.6,0.084,7,6,1,18908.35443
2017-01-01 07:20:00,4.489,74.3,0.082,7,6,1,18167.08861
2017-01-01 07:30:00,4.356,72.3,0.082,7,6,1,18075.94937
2017-01-01 07:40:00,4.478,72.2,0.083,7,6,1,18063.79747
2017-01-01 07:50:00,4.583,71.0,0.083,7,6,1,18045.56962
2017-01-01 08:00:00,4.794,72.0,0.084,8,6,1,18385.82278
2017-01-01 08:10:00,4.807,73.1,0.082,8,6,1,18987.34177
2017-01-01 08:20:00,4.757,73.5,0.083,8,6,1,19576.70886
2017-01-01 08:30:00,4.509,74.5,0.084,8,6,1,19837.97468
2017-01-01 08:40:00,4.346,74.8,0.082,8,6,1,20166.07595
2017-01-01 08:50:00,4.718,73.7,0.081,8,6,1,20676.4557
2017-01-01 09:00:00,4.704,71.8,0.083,9,6,1,21296.20253
2017-01-01 09:10:00,4.624,74.1,0.082,9,6,1,22043.5443
2017-01-01 09:20:00,4.629,74.8,0.083,9,6,1,22651.13924
2017-01-01 09:30:00,4.599,74.0,0.082,9,6,1,23131.13924
2017-01-01 09:40:00,4.524,74.7,0.081,9,6,1,23641.51899
2017-01-01 09:50:00,4.575,74.5,0.082,9,6,1,24668.35443
2017-01-01 10:00:00,5.124,73.7,0.076,10,6,1,25275.94937
2017-01-01 10:10:00,5.836,71.3,2.66,10,6,1,25920.0
2017-01-01 10:20:00,5.996,69.85,4.93,10,6,1,26393.92405
2017-01-01 10:30:00,6.22,68.81,4.924,10,6,1,26861.77215
2017-01-01 10:40:00,6.703,68.01,4.923,10,6,1,27511.89873
2017-01-01 10:50:00,6.993,66.14,4.918,10,6,1,28149.87342
2017-01-01 11:00:00,7.54,64.21,4.916,11,6,1,28714.93671
2017-01-01 11:10:00,8.22,61.9,4.916,11,6,1,29043.03797
2017-01-01 11:20:00,9.49,59.3,2.451,11,6,1,29261.77215
2017-01-01 11:30:00,10.65,56.03,0.084,11,6,1,29474.43038
2017-01-01 11:40:00,11.06,53.52,0.082,11,6,1,29523.03797
2017-01-01 11:50:00,12.4,53.26,0.08,11,6,1,29711.39241
2017-01-01 12:00:00,13.08,54.36,0.077,12,6,1,29644.55696
2017-01-01 12:10:00,14.38,54.42,0.076,12,6,1,29802.53165
2017-01-01 12:20:00,15.02,56.46,0.074,12,6,1,29887.59494
2017-01-01 12:30:00,15.55,58.7,0.075,12,6,1,30039.49367
2017-01-01 12:40:00,15.56,59.23,0.076,12,6,1,29966.58228
2017-01-01 12:50:00,15.49,59.3,0.076,12,6,1,29996.96203
2017-01-01 13:00:00,15.57,58.06,0.077,13,6,1,30258.22785
2017-01-01 13:10:00,15.65,58.7,0.077,13,6,1,30404.05063
2017-01-01 13:20:00,15.73,59.33,0.076,13,6,1,30094.17722
2017-01-01 13:30:00,15.68,58.6,0.079,13,6,1,30161.01266
2017-01-01 13:40:00,15.7,55.29,0.074,13,6,1,30318.98734
2017-01-01 13:50:00,15.75,52.45,0.077,13,6,1,30154.93671
2017-01-01 14:00:00,15.83,54.99,0.079,14,6,1,29984.81013
2017-01-01 14:10:00,15.79,56.66,0.076,14,6,1,30021.26582
2017-01-01 14:20:00,15.72,55.86,0.077,14,6,1,30021.26582
2017-01-01 14:30:00,15.8,54.06,0.075,14,6,1,29911.89873
2017-01-01 14:40:00,15.74,55.56,0.075,14,6,1,29747.8481
2017-01-01 14:50:00,15.72,56.69,0.077,14,6,1,29705.31646
